"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"PsychDirector","456317344",10656500,7992500,-2664000,-25
"Madula","937329793",9176000,7008000,-2168000,-23.6
"Midnite","781514256",3293000,592500,-2700500,-82
"Walrusface","114644882",3230000,2049000,-1181000,-36.6
"Emily","282421485",3090500,2155500,-935000,-30.3
"Wsoran","974112346",2530000,2196000,-334000,-13.2
"Drew Gimble 7","842249531",2514500,0,,
"Lewsypher","715725177",2504500,0,-2504500,-100
"Jacify","469989446",2494500,704000,-1790500,-71.8
"QuiGonZyn","154629751",2481500,421500,-2060000,-83
"aggression","442187441",2306000,206000,-2100000,-91.1
"WheresWatto","447941721",2273000,2093000,-180000,-7.9
"madchild","226489593",2249500,0,,
"Mads","639246267",2232000,2872000,640000,28.7
"AgustinAGB","174477328",2227000,956000,-1271000,-57.1
"Xmki","441175338",2162000,262500,-1899500,-87.9
"Scooty","224584851",2138500,2041500,-97000,-4.5
"Vlad Tepes","773894986",2134500,751500,-1383000,-64.8
"Rylyn Kelldor","453791729",2107000,1909500,-197500,-9.4
"Belak1230","168267598",2033500,463500,-1570000,-77.2
"Benla Mosan","725536835",2016500,1626750,-389750,-19.3
"Andrew","825685985",1983000,720000,-1263000,-63.7
"Zig","161157612",1970500,1610500,-360000,-18.3
"Kestler","211947976",1961000,1560250,-400750,-20.4
"Demandred","532336188",1949500,2476000,526500,27
"Drathaxie","271785267",1946000,385000,-1561000,-80.2
"Snow","732153618",1919000,1100000,-819000,-42.7
"Squeegee","183344884",1898500,987000,-911500,-48
"skedaddle","723261156",1862000,375000,-1487000,-79.9
"Kingofpeople123","622435454",1798000,0,-1798000,-100
"Slider","264142823",1786000,961000,-825000,-46.2
"Tallwalker","927964551",1736000,858500,-877500,-50.5
"Lightknightfight","192665238",1729000,1133500,-595500,-34.4
"PattonRex","341917828",1726000,1906500,180500,10.5
"Nix","216519788",1710000,727500,-982500,-57.5
"Mr Diabolical","469776187",1678500,1071500,-607000,-36.2
"Dragod","631139942",1654000,0,-1654000,-100
"Pie4Brains","121241413",1517000,296250,-1220750,-80.5
"Mol Eliza","861118469",1379500,1107500,-272000,-19.7
"Freejedi","583278893",1244500,1135000,-109500,-8.8
"LordCarlsen","857961228",995500,642500,-353000,-35.5
"MasterJedaiGrandEmperor Bali","482949391",962500,1083500,121000,12.6
"Samantha","344757468",830500,923000,92500,11.1
"TheTrailblazer","811894563",810000,1032500,222500,27.5
"Breacher2111","225854163",778500,809000,30500,3.9
"DarthLager1","366458875",745000,898500,153500,20.6
"Crocy","577286992",737000,0,-737000,-100
"Astur","398745497",389500,463000,73500,18.9
"HeisenbergNoCap","157324792",265500,232500,-33000,-12.4
"KingHades1399","311656988",155500,790000,634500,408